,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1778,677,07:48.1,19:05.5,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29470,Customer,1969,0
33545,199,24:46.8,28:06.6,3481,York St,40.71649,-74.04105,3187,Warren St,40.721123600000006,-74.03805095,33676,Subscriber,1988,1
30922,1072,53:40.8,11:32.8,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,33670,Subscriber,1962,1
21089,267,14:05.0,18:32.9,3210,Pershing Field,40.74267714,-74.05178863,3196,Riverview Park,40.7443187,-74.04399090000001,29201,Subscriber,1963,1
18161,308,13:38.9,18:47.1,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,29502,Subscriber,1988,1
15377,562,59:29.7,08:51.9,3202,Newport PATH,40.7272235,-74.03375890000001,3183,Exchange Place,40.7162469,-74.0334588,29528,Subscriber,1988,1
11013,173,58:39.9,01:33.4,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,29623,Subscriber,1986,1
37165,493,08:09.1,16:22.9,3640,Journal Square,40.733670000000004,-74.0625,3212,Christ Hospital,40.73478582,-74.05044364,33676,Subscriber,1984,1
32733,142,13:06.3,15:29.1,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29302,Subscriber,1973,1
37788,334,44:35.6,50:09.9,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.73074263,-74.06378388,26208,Subscriber,1985,1
29102,170,33:54.7,36:45.7,3273,Manila & 1st,40.72165072,-74.04288411,3270,Jersey & 6th St,40.72528911,-74.04557168,29269,Subscriber,1987,1
14985,1737,27:21.7,56:19.2,3202,Newport PATH,40.7272235,-74.03375890000001,3638,Washington St,40.7242941,-74.0354826,26210,Customer,1991,1
16096,131,57:37.4,59:48.8,3202,Newport PATH,40.7272235,-74.03375890000001,3638,Washington St,40.7242941,-74.0354826,29280,Customer,1980,1
13099,1107,39:33.9,58:00.9,3196,Riverview Park,40.7443187,-74.04399090000001,3196,Riverview Park,40.7443187,-74.04399090000001,33626,Subscriber,1983,1
29806,97,21:22.9,23:00.2,3275,Columbus Drive,40.718355200000005,-74.03891444,3187,Warren St,40.721123600000006,-74.03805095,26222,Subscriber,1951,1
21047,166,00:28.0,03:14.6,3210,Pershing Field,40.74267714,-74.05178863,3207,Oakland Ave,40.7376037,-74.05247829999999,26237,Subscriber,1991,1
27045,356,11:49.8,17:46.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,33606,Subscriber,1980,2
11002,363,06:45.9,12:49.4,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,33668,Subscriber,1960,1
38966,1793,40:24.9,10:18.1,3694,Jackson Square,40.71113,-74.0789,3202,Newport PATH,40.7272235,-74.03375890000001,26221,Subscriber,1991,2
20769,299,16:08.5,21:08.2,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,33641,Subscriber,1986,2
23719,638,24:12.1,34:50.4,3213,Van Vorst Park,40.71848892,-74.04772663,3225,Baldwin at Montgomery,40.7236589,-74.0641943,26196,Subscriber,1971,1
22911,141,05:52.9,08:14.8,3213,Van Vorst Park,40.71848892,-74.04772663,3272,Jersey & 3rd,40.72333159,-74.04595256,29265,Subscriber,1962,1
28872,538,40:28.9,49:27.4,3272,Jersey & 3rd,40.72333159,-74.04595256,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33598,Subscriber,1978,2
23840,1353,35:07.4,57:41.0,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,29587,Subscriber,1976,1
12991,2304,29:36.1,08:01.0,3196,Riverview Park,40.7443187,-74.04399090000001,3202,Newport PATH,40.7272235,-74.03375890000001,29622,Customer,1973,1
20280,221,04:09.4,07:51.3,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,26243,Subscriber,1977,1
8069,270,55:50.2,00:20.3,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29266,Subscriber,1968,1
24538,311,09:58.0,15:09.9,3220,5 Corners Library,40.73496102,-74.05950308,3207,Oakland Ave,40.7376037,-74.05247829999999,29654,Subscriber,1984,1
22558,544,04:39.1,13:43.8,3212,Christ Hospital,40.73478582,-74.05044364,3276,Marin Light Rail,40.71458404,-74.04281706,29514,Subscriber,1991,1
15906,465,30:18.3,38:03.7,3202,Newport PATH,40.7272235,-74.03375890000001,3681,Grand St,40.71517768,-74.03768331,33568,Subscriber,1970,1
22852,344,35:29.4,41:13.4,3213,Van Vorst Park,40.71848892,-74.04772663,3276,Marin Light Rail,40.71458404,-74.04281706,25659,Subscriber,1978,2
294,1257,11:06.9,32:03.9,3183,Exchange Place,40.7162469,-74.0334588,3270,Jersey & 6th St,40.72528911,-74.04557168,29260,Subscriber,1977,1
23445,179,03:51.8,06:51.0,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,33622,Subscriber,1988,1
298,550,13:52.3,23:02.4,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,26193,Subscriber,1976,1
31285,268,08:51.5,13:20.5,3276,Marin Light Rail,40.71458404,-74.04281706,3184,Paulus Hook,40.7141454,-74.0335519,26308,Subscriber,1963,1
26118,1905,10:21.5,42:07.5,3267,Morris Canal,40.71241882,-74.03852552,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29198,Customer,1976,2
18562,1094,35:54.3,54:08.3,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,29495,Subscriber,1987,2
15030,226,45:27.6,49:14.4,3202,Newport PATH,40.7272235,-74.03375890000001,3187,Warren St,40.721123600000006,-74.03805095,26179,Subscriber,1992,1
6896,245,56:16.7,00:21.9,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,29569,Subscriber,1961,2
36965,337,45:21.5,50:58.9,3640,Journal Square,40.733670000000004,-74.0625,3207,Oakland Ave,40.7376037,-74.05247829999999,29517,Subscriber,1994,1
8015,281,37:00.6,41:41.7,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,29207,Subscriber,1964,1
28928,226,09:38.2,13:24.8,3273,Manila & 1st,40.72165072,-74.04288411,3211,Newark Ave,40.72152515,-74.04630454,26247,Subscriber,1976,1
37658,388,19:04.0,25:32.5,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.73074263,-74.06378388,29200,Subscriber,1979,1
20243,368,01:42.0,07:50.8,3209,Brunswick St,40.7241765,-74.05065640000001,3203,Hamilton Park,40.72759597,-74.04424731,26307,Customer,1969,0
33525,1033,39:07.4,56:20.8,3481,York St,40.71649,-74.04105,3225,Baldwin at Montgomery,40.7236589,-74.0641943,26316,Subscriber,1979,2
7761,206,05:40.5,09:06.5,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,26172,Subscriber,1977,1
16749,256,32:16.2,36:32.8,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26174,Subscriber,1979,1
33209,446,37:32.9,44:59.1,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,26312,Subscriber,1973,1
32295,202,20:52.1,24:14.9,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,26431,Subscriber,1987,2
21188,589,13:46.4,23:35.9,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.733670000000004,-74.0625,29654,Subscriber,1996,1
5513,233,16:31.3,20:24.5,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29227,Subscriber,1978,1
10872,204,00:11.5,03:35.9,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,29667,Subscriber,1995,1
35701,302,41:36.2,46:38.4,3639,Harborside,40.71925170000001,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,33617,Subscriber,1982,1
215,1517,09:58.4,35:15.7,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,33593,Subscriber,1969,1
21053,289,42:26.9,47:16.4,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.733670000000004,-74.0625,26199,Subscriber,1990,1
36518,108,50:50.5,52:39.2,3639,Harborside,40.71925170000001,-74.034234,3183,Exchange Place,40.7162469,-74.0334588,33614,Subscriber,1988,1
29393,566,43:06.8,52:33.8,3273,Manila & 1st,40.72165072,-74.04288411,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33606,Subscriber,1995,2
6429,238,44:52.6,48:51.5,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,26236,Subscriber,1967,1
7361,594,25:16.4,35:11.3,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,29492,Subscriber,1987,1
24447,541,39:12.4,48:13.6,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3202,Newport PATH,40.7272235,-74.03375890000001,29586,Subscriber,1986,1
27753,222,13:29.3,17:11.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3638,Washington St,40.7242941,-74.0354826,26308,Subscriber,1992,2
21550,504,44:57.4,53:22.0,3211,Newark Ave,40.72152515,-74.04630454,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29545,Subscriber,1983,1
17155,242,31:04.7,35:06.8,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29682,Subscriber,1979,1
24276,204,24:24.4,27:48.5,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3267,Morris Canal,40.71241882,-74.03852552,29504,Subscriber,1984,1
15016,444,04:48.4,12:12.8,3202,Newport PATH,40.7272235,-74.03375890000001,3183,Exchange Place,40.7162469,-74.0334588,26191,Subscriber,1993,1
25625,447,42:51.5,50:18.6,3267,Morris Canal,40.71241882,-74.03852552,3276,Marin Light Rail,40.71458404,-74.04281706,29489,Subscriber,1985,1
13497,723,22:43.6,34:47.2,3198,Heights Elevator,40.74871595,-74.04044329999999,3281,Leonard Gordon Park,40.74590997,-74.05727148,33602,Subscriber,1970,1
21275,797,21:20.6,34:38.0,3210,Pershing Field,40.74267714,-74.05178863,3198,Heights Elevator,40.74871595,-74.04044329999999,26212,Subscriber,1988,1
