,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
35328,1424,19:50.8,43:34.8,3638,Washington St,40.7242941,-74.0354826,3269,Brunswick & 6th,40.72601173,-74.05038893,29227,Subscriber,1986,1
12321,183,40:23.5,43:27.0,3195,Sip Ave,40.73074263,-74.06378388,3206,Hilltop,40.7311689,-74.0575736,33628,Subscriber,1973,1
31581,207,03:15.6,06:43.3,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,33603,Subscriber,1982,1
21220,612,41:58.6,52:11.1,3210,Pershing Field,40.74267714,-74.05178863,3210,Pershing Field,40.74267714,-74.05178863,26290,Customer,1992,2
24992,353,23:50.7,29:43.8,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,29512,Subscriber,1984,1
17023,260,25:17.1,29:37.4,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26242,Subscriber,1984,1
2424,736,25:03.5,37:19.8,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.03375890000001,29448,Customer,1988,1
11171,530,23:15.2,32:05.5,3194,McGinley Square,40.72533993,-74.06762213,3206,Hilltop,40.7311689,-74.0575736,29661,Subscriber,1981,1
34187,216,33:23.0,36:59.0,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958612,-74.04311746,29438,Subscriber,1985,1
24971,353,59:37.0,05:30.3,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,33620,Subscriber,1990,1
9449,379,01:53.9,08:13.1,3187,Warren St,40.721123600000006,-74.03805095,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,35009,Subscriber,1984,2
38226,287,45:32.0,50:19.8,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.73074263,-74.06378388,29573,Subscriber,1992,1
35113,104,05:27.7,07:12.7,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.03375890000001,26274,Subscriber,1973,1
24562,531,43:33.5,52:25.2,3220,5 Corners Library,40.73496102,-74.05950308,3210,Pershing Field,40.74267714,-74.05178863,26157,Subscriber,1983,1
22585,345,24:14.4,29:59.8,3212,Christ Hospital,40.73478582,-74.05044364,3206,Hilltop,40.7311689,-74.0575736,29212,Subscriber,1994,2
21340,441,16:52.4,24:14.1,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,29581,Subscriber,1969,1
200,136,09:59.6,12:16.1,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.71925170000001,-74.034234,32259,Subscriber,1971,2
33873,231,48:48.7,52:40.1,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958612,-74.04311746,29571,Subscriber,1954,2
844,121,35:13.5,37:15.3,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.71925170000001,-74.034234,32019,Subscriber,1981,1
17807,344,23:47.4,29:32.1,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31151,Subscriber,1992,1
6629,191,02:54.6,06:05.7,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,29448,Subscriber,1989,2
18610,685,41:05.9,52:31.2,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29291,Subscriber,1988,1
22362,190,29:04.6,32:15.5,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,29540,Subscriber,1998,1
12180,225,03:35.3,07:21.3,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29603,Subscriber,1966,1
18058,231,40:08.9,44:00.9,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,29548,Subscriber,1976,2
37616,313,20:09.0,25:22.4,3640,Journal Square,40.733670000000004,-74.0625,3207,Oakland Ave,40.7376037,-74.05247829999999,29495,Subscriber,1985,1
38107,320,43:05.7,48:26.6,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.73074263,-74.06378388,26243,Subscriber,1973,2
28261,383,36:45.5,43:08.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,29210,Customer,1969,0
12690,365,32:57.9,39:03.4,3195,Sip Ave,40.73074263,-74.06378388,3679,Bergen Ave,40.72210379,-74.071455,26220,Subscriber,1964,1
27186,192,05:14.6,08:26.9,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,33646,Subscriber,1973,1
16627,261,14:18.9,18:40.0,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29627,Subscriber,1990,1
39067,763,02:53.3,15:37.0,3694,Jackson Square,40.71113,-74.0789,3195,Sip Ave,40.73074263,-74.06378388,29271,Subscriber,1990,1
19649,283,26:15.5,30:59.0,3207,Oakland Ave,40.7376037,-74.05247829999999,3640,Journal Square,40.733670000000004,-74.0625,29586,Subscriber,1987,2
11870,1459,44:48.3,09:07.8,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.724605100000005,-74.07840595,29576,Customer,1969,0
27003,718,15:34.6,27:33.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,26290,Subscriber,1976,1
13631,671,09:44.2,20:55.4,3196,Riverview Park,40.7443187,-74.04399090000001,3281,Leonard Gordon Park,40.74590997,-74.05727148,33606,Subscriber,1975,2
17018,224,15:35.3,19:19.6,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,26306,Subscriber,1994,1
3312,334,17:22.9,22:57.1,3185,City Hall,40.717732500000004,-74.04384499999999,3209,Brunswick St,40.7241765,-74.05065640000001,26289,Subscriber,1986,1
26169,640,58:10.9,08:51.8,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,29438,Subscriber,1998,1
4066,275,26:12.5,30:48.2,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,26232,Subscriber,1983,1
25242,204,22:47.1,26:12.0,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29665,Subscriber,1977,1
8390,259,55:06.4,59:26.1,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,29457,Subscriber,1984,1
14083,871,40:43.7,55:15.3,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3275,Columbus Drive,40.718355200000005,-74.03891444,33611,Subscriber,1987,1
9942,431,39:26.6,46:37.9,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3185,City Hall,40.717732500000004,-74.04384499999999,29497,Subscriber,1995,2
18041,1180,49:05.3,08:45.9,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.71925170000001,-74.034234,29270,Subscriber,1972,2
24218,249,53:05.8,57:15.3,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3185,City Hall,40.717732500000004,-74.04384499999999,26268,Subscriber,1984,1
6883,291,52:10.3,57:02.2,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,29215,Subscriber,1975,1
29075,454,19:36.6,27:10.8,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,26736,Subscriber,1988,2
3362,140,36:14.7,38:35.1,3185,City Hall,40.717732500000004,-74.04384499999999,3276,Marin Light Rail,40.71458404,-74.04281706,29541,Subscriber,1986,1
19650,664,46:00.2,57:05.0,3207,Oakland Ave,40.7376037,-74.05247829999999,3205,JC Medical Center,40.71653978,-74.04963791,29575,Subscriber,1989,1
4966,567,39:59.5,49:26.6,3186,Grove St PATH,40.71958612,-74.04311746,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33557,Subscriber,1980,1
10283,552,57:43.8,06:56.0,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3272,Jersey & 3rd,40.72333159,-74.04595256,33641,Subscriber,1977,1
11218,698,55:24.0,07:02.2,3194,McGinley Square,40.72533993,-74.06762213,3183,Exchange Place,40.7162469,-74.0334588,29511,Subscriber,1971,1
32584,140,44:40.6,47:01.0,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29527,Subscriber,1986,1
16350,539,20:34.7,29:34.0,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,29487,Subscriber,1988,1
26120,617,03:03.0,13:20.1,3268,Lafayette Park,40.71346383,-74.06285852,3275,Columbus Drive,40.718355200000005,-74.03891444,29514,Subscriber,1987,1
2781,295,27:25.3,32:20.8,3184,Paulus Hook,40.7141454,-74.0335519,3681,Grand St,40.71517768,-74.03768331,29542,Subscriber,1993,2
13384,264,53:42.9,58:07.8,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,29293,Subscriber,1972,1
25464,773,26:00.3,38:53.5,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,29666,Subscriber,1970,1
16878,442,49:22.1,56:44.4,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,29607,Subscriber,1988,1
26835,251,59:14.5,03:26.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3272,Jersey & 3rd,40.72333159,-74.04595256,29264,Customer,1996,2
24443,370,42:11.2,48:21.5,3220,5 Corners Library,40.73496102,-74.05950308,3210,Pershing Field,40.74267714,-74.05178863,29647,Subscriber,1990,1
37620,411,43:34.9,50:26.1,3640,Journal Square,40.733670000000004,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,29206,Subscriber,1985,1
33063,1400,33:36.9,56:57.4,3280,Astor Place,40.7192822,-74.07126188,3183,Exchange Place,40.7162469,-74.0334588,29261,Customer,1988,2
31820,263,49:49.7,54:13.4,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,29539,Subscriber,1978,1
5782,295,30:46.7,35:42.4,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29245,Subscriber,1971,2
26178,579,28:06.6,37:46.4,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.717732500000004,-74.04384499999999,29467,Subscriber,1991,1
33867,225,15:01.3,18:46.4,3481,York St,40.71649,-74.04105,3183,Exchange Place,40.7162469,-74.0334588,26309,Subscriber,1968,1
7579,324,55:31.4,00:56.0,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29461,Subscriber,1973,1
