,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
12775,236,40:43.7,44:40.3,3275,Columbus Drive,40.718355200000005,-74.03891444,3183,Exchange Place,40.7162469,-74.0334588,31689,Subscriber,1988,2
2535,364,15:40.0,21:44.5,3186,Grove St PATH,40.71958612,-74.04311746,3267,Morris Canal,40.71241882,-74.03852552,31732,Subscriber,1971,1
3927,393,19:48.2,26:21.3,3187,Warren St,40.721123600000006,-74.03805095,3267,Morris Canal,40.71241882,-74.03852552,31689,Subscriber,1968,1
4759,199,32:52.8,36:12.5,3194,McGinley Square,40.72533993,-74.06762213,3280,Astor Place,40.7192822,-74.07126188,31875,Subscriber,1988,1
13635,239,40:44.2,44:43.5,3278,Monmouth and 6th,40.72568548,-74.04879034,3273,Manila & 1st,40.72165072,-74.04288411,31706,Subscriber,1984,1
4483,700,34:36.2,46:16.5,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,31911,Subscriber,1967,1
11966,587,25:03.3,34:50.4,3270,Jersey & 6th St,40.72528911,-74.04557168,3206,Hilltop,40.7311689,-74.0575736,31911,Subscriber,1991,1
14670,220,10:06.2,13:46.8,3639,Harborside,40.71925170000001,-74.034234,3638,Washington St,40.7242941,-74.0354826,31940,Subscriber,1989,2
5263,202,27:46.5,31:08.7,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,29499,Subscriber,1990,1
7749,727,37:33.4,49:40.9,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,31865,Subscriber,1988,2
13762,372,35:24.7,41:37.0,3279,Dixon Mills,40.72163014,-74.04996783,3183,Exchange Place,40.7162469,-74.0334588,33463,Subscriber,1949,1
10496,554,58:07.4,07:22.0,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3184,Paulus Hook,40.7141454,-74.0335519,29219,Subscriber,1983,1
1445,279,55:29.8,00:09.7,3185,City Hall,40.717732500000004,-74.04384499999999,3183,Exchange Place,40.7162469,-74.0334588,31772,Subscriber,1986,1
10718,279,04:43.4,09:22.4,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29612,Subscriber,1961,2
15070,268,52:05.3,56:33.5,3640,Journal Square,40.733670000000004,-74.0625,3207,Oakland Ave,40.7376037,-74.05247829999999,29242,Subscriber,1980,1
2623,299,02:56.9,07:56.9,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,31799,Subscriber,1978,2
3499,247,20:38.4,24:45.5,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29607,Subscriber,1973,1
