,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
7764,160,45:48.3,48:28.7,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29598,Subscriber,1980,1
3442,970,20:38.2,36:48.9,3188,NJCU,40.710108700000006,-74.0858489,3195,Sip Ave,40.73074263,-74.06378388,26229,Subscriber,1960,1
4101,146,58:17.9,00:44.2,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,26289,Subscriber,1986,1
5822,467,41:36.4,49:23.4,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.72759597,-74.04424731,29608,Subscriber,1994,2
7680,132,48:10.3,50:22.5,3211,Newark Ave,40.72152515,-74.04630454,3272,Jersey & 3rd,40.72333159,-74.04595256,31867,Subscriber,1957,1
7687,191,29:38.5,32:49.8,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,31836,Subscriber,1984,1
12568,344,33:35.4,39:19.9,3640,Journal Square,40.733670000000004,-74.0625,3207,Oakland Ave,40.7376037,-74.05247829999999,31776,Subscriber,1957,1
9624,1904,22:47.3,54:31.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3209,Brunswick St,40.7241765,-74.05065640000001,31704,Subscriber,1975,1
1112,265,17:46.1,22:11.8,3185,City Hall,40.717732500000004,-74.04384499999999,3183,Exchange Place,40.7162469,-74.0334588,29640,Subscriber,1986,1
4588,762,44:46.4,57:28.6,3195,Sip Ave,40.73074263,-74.06378388,3213,Van Vorst Park,40.71848892,-74.04772663,29666,Subscriber,1977,1
233,415,50:35.6,57:30.6,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,31862,Subscriber,1980,1
484,1496,58:21.9,23:18.4,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26256,Subscriber,1988,1
7898,535,24:46.1,33:42.0,3211,Newark Ave,40.72152515,-74.04630454,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29672,Subscriber,1986,2
6778,229,48:01.5,51:50.8,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,29662,Subscriber,1989,1
8857,503,13:00.3,21:23.7,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3278,Monmouth and 6th,40.72568548,-74.04879034,31772,Subscriber,1976,1
8609,309,02:04.0,07:13.3,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3187,Warren St,40.721123600000006,-74.03805095,31733,Subscriber,1989,1
11791,576,36:12.5,45:48.6,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31678,Subscriber,1953,2
4593,521,52:00.7,00:42.0,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.724605100000005,-74.07840595,31802,Subscriber,1967,1
6214,1103,35:30.0,53:53.2,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,31777,Subscriber,1976,1
3497,5216,46:34.0,13:30.8,3191,Union St,40.71821129999999,-74.08363940000001,3184,Paulus Hook,40.7141454,-74.0335519,31717,Customer,1969,0
3057,190,30:57.8,34:07.9,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,31946,Subscriber,1975,1
3919,163,02:42.7,05:25.8,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,31864,Subscriber,1983,1
3534,702,36:11.4,47:53.8,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3185,City Hall,40.717732500000004,-74.04384499999999,29629,Subscriber,1990,1
1950,194,22:32.6,25:47.0,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,31721,Subscriber,1992,1
1418,388,19:02.0,25:30.3,3185,City Hall,40.717732500000004,-74.04384499999999,3184,Paulus Hook,40.7141454,-74.0335519,31777,Subscriber,1964,2
11877,1477,35:30.2,00:07.5,3281,Leonard Gordon Park,40.74590997,-74.05727148,3183,Exchange Place,40.7162469,-74.0334588,29623,Subscriber,1976,1
7986,125,24:22.7,26:28.5,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29672,Subscriber,1985,1
7356,292,02:54.1,07:46.5,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,29618,Subscriber,1978,2
700,747,31:44.3,44:12.1,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29587,Subscriber,1990,2
4004,228,43:09.3,46:57.8,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,31938,Subscriber,1981,1
2694,398,09:30.5,16:08.8,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,31701,Subscriber,1988,1
10605,117,28:44.4,30:41.5,3273,Manila & 1st,40.72165072,-74.04288411,3185,City Hall,40.717732500000004,-74.04384499999999,29642,Subscriber,1973,1
9241,456,07:41.4,15:17.8,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31949,Subscriber,1974,1
4199,374,57:13.6,03:27.7,3195,Sip Ave,40.73074263,-74.06378388,3212,Christ Hospital,40.73478582,-74.05044364,31725,Subscriber,1995,1
4703,802,17:54.2,31:16.9,3195,Sip Ave,40.73074263,-74.06378388,3195,Sip Ave,40.73074263,-74.06378388,32843,Subscriber,1985,1
12145,176,04:54.7,07:51.4,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29674,Subscriber,1975,2
6818,343,27:41.7,33:25.4,3205,JC Medical Center,40.71653978,-74.04963791,3192,Liberty Light Rail,40.711242299999995,-74.0557013,31754,Subscriber,1987,1
2934,725,04:42.2,16:47.8,3186,Grove St PATH,40.71958612,-74.04311746,3193,Lincoln Park,40.724605100000005,-74.07840595,31865,Subscriber,1985,1
8992,250,29:16.7,33:27.1,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31762,Subscriber,1983,1
3997,277,06:17.7,10:55.5,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,31697,Subscriber,1970,1
12552,725,07:44.7,19:50.0,3640,Journal Square,40.733670000000004,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,31704,Subscriber,1976,1
580,251,43:32.8,47:44.5,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.717732500000004,-74.04384499999999,29669,Subscriber,1964,2
9206,186,34:15.5,37:22.4,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,31689,Subscriber,1987,1
3796,701,39:33.1,51:14.3,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,31949,Subscriber,1982,1
8691,80,45:48.1,47:08.5,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3184,Paulus Hook,40.7141454,-74.0335519,29587,Subscriber,1980,1
11035,296,13:37.2,18:33.6,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.721123600000006,-74.03805095,29608,Subscriber,1984,2
11862,523,54:26.9,03:10.9,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31751,Subscriber,1985,2
11485,566,58:39.2,08:05.3,3278,Monmouth and 6th,40.72568548,-74.04879034,3276,Marin Light Rail,40.71458404,-74.04281706,31911,Subscriber,1982,1
12389,362,31:57.2,37:59.8,3639,Harborside,40.71925170000001,-74.034234,3272,Jersey & 3rd,40.72333159,-74.04595256,26288,Subscriber,1966,1
11074,236,31:41.8,35:38.6,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,31763,Subscriber,1976,1
10385,255,55:25.8,59:41.4,3272,Jersey & 3rd,40.72333159,-74.04595256,3187,Warren St,40.721123600000006,-74.03805095,31933,Subscriber,1992,1
3915,262,07:30.2,11:52.2,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,29620,Subscriber,1970,1
4408,1015,12:32.5,29:28.0,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,31716,Subscriber,1998,1
7939,177,17:22.6,20:20.4,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.05065640000001,31808,Subscriber,1989,1
4669,313,38:15.4,43:29.1,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,31940,Subscriber,1956,1
7180,555,47:13.2,56:28.6,3207,Oakland Ave,40.7376037,-74.05247829999999,3211,Newark Ave,40.72152515,-74.04630454,31744,Subscriber,1993,2
8295,137,32:30.9,34:48.7,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.717732500000004,-74.04384499999999,31843,Subscriber,1959,2
5529,397,12:38.9,19:16.7,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.72759597,-74.04424731,31715,Subscriber,1990,1
7157,430,43:25.0,50:35.4,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73074263,-74.06378388,29612,Subscriber,1984,2
3215,282,05:15.6,09:57.8,3187,Warren St,40.721123600000006,-74.03805095,3278,Monmouth and 6th,40.72568548,-74.04879034,29600,Subscriber,1989,1
9801,196,21:36.1,24:53.0,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,31843,Subscriber,1984,1
12213,243,14:32.1,18:35.4,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29615,Subscriber,1984,1
8142,185,34:10.5,37:16.3,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29620,Subscriber,1959,2
1675,582,48:12.7,57:55.3,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.711242299999995,-74.0557013,31865,Subscriber,1988,2
865,562,32:50.7,42:13.3,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.03375890000001,31811,Subscriber,1975,1
4895,247,06:10.9,10:18.2,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29635,Subscriber,1991,1
4529,639,10:39.1,21:18.5,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,31816,Subscriber,1964,1
86,99,10:04.8,11:44.2,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26228,Subscriber,1981,0
8163,154,54:57.2,57:31.4,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,31938,Subscriber,1989,1
2663,207,14:59.2,18:26.2,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,29654,Subscriber,1977,1
10766,1131,30:45.3,49:36.3,3275,Columbus Drive,40.718355200000005,-74.03891444,3207,Oakland Ave,40.7376037,-74.05247829999999,31687,Subscriber,1981,1
4498,344,45:19.5,51:04.5,3195,Sip Ave,40.73074263,-74.06378388,3207,Oakland Ave,40.7376037,-74.05247829999999,26249,Subscriber,1979,1
