tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
134,38:15.9,40:30.6,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29615,Subscriber,1966,1
413,19:35.8,26:29.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29641,Subscriber,1986,2
77,31:03.1,32:20.4,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29621,Subscriber,1975,1
404,23:15.1,29:59.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31934,Subscriber,1980,1
230,26:01.8,29:52.5,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29642,Subscriber,1986,1
112,03:19.9,05:12.2,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26257,Subscriber,1989,1
301,08:30.7,13:32.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31912,Subscriber,1968,1
319,38:24.5,43:43.6,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31875,Subscriber,1941,2
241,46:21.4,50:23.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26193,Subscriber,1976,2
743,48:22.2,00:45.8,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,31949,Subscriber,1989,1
1914,24:04.8,55:59.8,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,31813,Subscriber,1976,1
91,33:25.8,34:57.3,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29641,Subscriber,1960,1
221,34:39.6,38:20.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29591,Subscriber,1980,1
389,37:18.9,43:48.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31816,Subscriber,1980,1
591,44:03.3,53:54.7,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,31700,Subscriber,1988,2
221,48:27.8,52:09.0,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31754,Subscriber,1976,1
382,57:15.1,03:37.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31728,Subscriber,1992,1
351,57:25.5,03:16.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29612,Subscriber,1985,1
326,58:20.1,03:46.7,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,31865,Subscriber,1971,1
235,58:33.7,02:29.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31884,Subscriber,1974,1
243,58:38.5,02:41.9,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29579,Subscriber,1986,1
1272,00:21.8,21:34.0,3183,Exchange Place,40.7162469,-74.0334588,3207,Oakland Ave,40.7376037,-74.0524783,33463,Subscriber,1981,1
334,09:30.8,15:05.3,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31766,Subscriber,1990,1
