tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1188,32:27.5,52:15.9,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,33662,Customer,1969,0
278,14:31.9,19:10.3,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29254,Subscriber,1963,1
115,33:17.2,35:12.3,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,33607,Subscriber,1966,1
155,20:10.9,22:46.7,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29222,Subscriber,1975,2
82,35:02.8,36:25.2,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29678,Subscriber,1975,1
310,53:23.7,58:33.7,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29197,Subscriber,1973,1
203,54:47.4,58:10.7,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,26164,Subscriber,1981,1
176,04:07.4,07:03.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29460,Subscriber,1981,1
269,52:26.8,56:56.1,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,27083,Subscriber,1966,1
1010,11:43.7,28:33.7,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,24934,Customer,1998,1
1001,11:51.9,28:33.1,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,33675,Customer,1969,1
986,12:04.7,28:31.6,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26259,Customer,1967,2
277,02:26.4,07:04.0,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,26304,Subscriber,1983,1
226,10:09.7,13:56.2,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29542,Subscriber,1977,2
1102,44:52.0,03:14.8,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29282,Subscriber,1993,1
517,15:02.1,23:39.5,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29483,Subscriber,1980,1
416,47:42.0,54:38.5,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29654,Subscriber,1981,1
911,00:59.8,16:11.3,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29270,Subscriber,1973,1
101,21:30.2,23:11.3,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,33588,Subscriber,1988,1
206,34:45.2,38:11.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,33607,Subscriber,1987,1
492,52:27.7,00:40.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,24934,Subscriber,1991,1
782,50:23.5,03:25.8,3183,Exchange Place,40.7162469,-74.0334588,3483,Montgomery St,40.71942,-74.05099,26318,Subscriber,1989,2
332,52:45.6,58:18.6,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29251,Subscriber,1958,1
251,58:06.2,02:17.6,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29260,Subscriber,1986,1
322,03:21.7,08:44.6,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29668,Subscriber,1983,1
830,04:04.2,17:55.2,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,33840,Subscriber,1982,1
728,24:38.0,36:46.7,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,32019,Subscriber,1977,1
243,31:57.1,36:00.7,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,26158,Subscriber,1983,1
1029,40:44.6,57:53.8,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29629,Customer,1971,2
1015,48:50.3,05:45.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,30843,Subscriber,1990,1
997,02:22.4,18:59.5,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29236,Customer,1994,2
227,02:42.9,06:30.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26211,Subscriber,1974,1
394,04:08.7,10:42.9,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,18729,Subscriber,1941,2
301,08:21.4,13:22.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,33607,Subscriber,1970,1
1408,12:27.0,35:55.8,3183,Exchange Place,40.7162469,-74.0334588,3212,Christ Hospital,40.73478582,-74.05044364,29255,Subscriber,1987,1
334,17:54.3,23:28.9,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,29276,Subscriber,1980,1
514,21:36.0,30:10.7,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29547,Subscriber,1981,1
811,22:10.6,35:42.0,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29538,Customer,1992,1
120,22:49.5,24:49.7,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,33592,Subscriber,1969,0
248,26:56.4,31:04.9,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26245,Subscriber,1969,1
1201,30:09.2,50:11.0,3183,Exchange Place,40.7162469,-74.0334588,3677,Glenwood Ave,40.72755147,-74.07106072,26187,Subscriber,1989,1
395,30:28.9,37:04.8,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,33598,Customer,1969,0
400,38:07.1,44:47.3,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29230,Subscriber,1989,2
660,38:59.0,49:59.9,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.0506564,33652,Subscriber,1975,1
724,45:08.3,57:12.3,3183,Exchange Place,40.7162469,-74.0334588,3269,Brunswick & 6th,40.72601173,-74.05038893,29495,Subscriber,1958,1
660,48:15.8,59:16.7,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29221,Subscriber,1985,1
1479,51:16.0,15:55.2,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,29616,Subscriber,1979,1
522,53:40.3,02:23.3,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26164,Subscriber,1972,1
178,56:13.2,59:12.2,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29587,Subscriber,1969,1
1080,57:56.0,15:56.3,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29619,Customer,1969,0
595,02:07.4,12:02.9,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29613,Subscriber,1986,1
302,02:51.3,07:54.3,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,33591,Subscriber,1971,1
253,05:50.4,10:04.0,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26245,Subscriber,1990,1
233,13:37.7,17:31.4,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29602,Subscriber,1988,1
189,13:52.9,17:02.6,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29655,Subscriber,1988,2
