tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1814,43:51.2,14:06.1,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26175,Subscriber,1978,1
298,42:53.7,47:51.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31847,Subscriber,1979,1
1060,43:12.0,00:52.9,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,33463,Subscriber,1972,1
1035,43:40.6,00:55.7,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,31738,Subscriber,1983,1
559,56:47.5,06:06.8,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31925,Subscriber,1989,1
232,29:47.3,33:39.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29240,Subscriber,1990,1
149,43:48.2,46:17.2,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26307,Subscriber,1988,1
1024,48:56.8,06:01.5,3183,Exchange Place,40.7162469,-74.0334588,3272,Jersey & 3rd,40.72333159,-74.04595256,29583,Customer,1969,0
882,21:50.3,36:32.4,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26249,Customer,1992,1
676,46:24.8,57:41.4,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,31686,Customer,1969,0
605,47:47.6,57:53.5,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,26206,Customer,1969,0
337,42:28.2,48:05.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26257,Subscriber,1991,1
316,42:59.3,48:15.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29440,Subscriber,1990,1
555,45:32.6,54:48.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29662,Subscriber,1990,1
2080,58:04.3,32:44.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29579,Subscriber,1988,1
378,22:51.6,29:10.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26291,Subscriber,1977,1
253,06:58.4,11:11.7,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29542,Subscriber,1994,1
363,37:02.8,43:06.3,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29613,Subscriber,1981,2
264,00:38.2,05:02.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26303,Subscriber,1979,2
625,55:50.9,06:16.1,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31874,Subscriber,1970,1
237,31:44.4,35:41.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26238,Subscriber,1971,1
291,50:50.3,55:41.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31675,Subscriber,1983,1
487,59:43.7,07:51.7,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,29619,Subscriber,1953,2
1826,00:54.1,31:20.8,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,29641,Subscriber,1976,1
237,20:22.2,24:19.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26298,Subscriber,1980,1
338,21:09.1,26:47.6,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29439,Subscriber,1981,1
409,27:02.3,33:51.7,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,26159,Subscriber,1980,1
91,28:25.7,29:56.7,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26232,Subscriber,1989,1
133,29:52.1,32:05.6,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,29626,Subscriber,1981,1
664,31:40.6,42:45.2,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,31884,Subscriber,1989,1
199,34:45.7,38:05.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31708,Subscriber,1960,1
285,46:15.7,51:01.0,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31816,Subscriber,1990,1
317,53:05.9,58:23.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26188,Subscriber,1985,1
1040,59:14.1,16:34.7,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,29242,Subscriber,1965,1
258,59:15.2,03:33.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26280,Subscriber,1994,1
267,59:55.4,04:23.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26224,Subscriber,1963,1
